Generation,Nice,Bullies
849,182,190, 
850,182,190, 
851,181,190, 
852,181,190, 
853,181,190, 
854,181,190, 
855,181,190, 
856,181,190, 
857,181,190, 
858,181,190, 
859,180,190, 
860,180,190, 
861,180,190, 
862,180,190, 
863,180,190, 
864,180,190, 
865,180,189, 
866,180,189, 
867,180,189, 
868,180,189, 
869,180,189, 
870,180,189, 
871,180,189, 
872,180,189, 
873,180,189, 
874,180,189, 
875,181,189, 
876,181,189, 
877,181,189, 
878,181,189, 
879,181,189, 
880,181,189, 
881,181,189, 
882,181,189, 
883,181,189, 
884,181,189, 
885,181,189, 
886,181,189, 
887,181,188, 
888,181,188, 
889,181,188, 
890,180,188, 
891,180,188, 
892,180,188, 
893,180,188, 
894,180,188, 
895,180,188, 
896,180,188, 
897,180,188, 
898,180,188, 
899,180,187, 
900,180,187, 
901,180,187, 
902,180,187, 
903,180,187, 
904,180,187, 
905,180,187, 
906,180,187, 
907,180,187, 
908,179,187, 
909,179,187, 
910,179,186, 
911,179,186, 
912,179,186, 
913,179,186, 
914,179,186, 
915,179,186, 
916,179,186, 
917,179,186, 
918,179,186, 
919,179,186, 
920,179,186, 
921,179,186, 
922,179,186, 
923,179,186, 
924,179,186, 
925,179,186, 
926,179,186, 
927,179,186, 
928,179,186, 
929,179,186, 
930,179,186, 
931,179,186, 
932,179,185, 
933,179,185, 
934,179,185, 
935,179,185, 
936,179,185, 
937,179,185, 
938,179,185, 
939,179,185, 
940,179,185, 
941,178,185, 
942,178,185, 
943,178,185, 
944,177,185, 
945,177,185, 
946,177,185, 
947,177,185, 
948,177,185, 
949,177,184, 
950,177,184, 
951,177,184, 
952,176,184, 
953,176,184, 
954,176,184, 
955,176,184, 
956,176,184, 
957,176,184, 
958,176,184, 
959,176,184, 
960,176,184, 
961,176,184, 
962,176,183, 
963,176,183, 
964,176,183, 
965,175,183, 
966,175,183, 
967,175,183, 
968,175,183, 
969,175,183, 
970,175,183, 
971,175,183, 
972,175,182, 
973,175,182, 
974,175,182, 
975,175,182, 
976,175,182, 
977,175,182, 
978,175,182, 
979,175,182, 
980,175,182, 
981,175,182, 
982,175,182, 
983,175,182, 
984,175,182, 
985,175,182, 
986,175,182, 
987,175,182, 
988,175,182, 
989,175,182, 
990,174,182, 
991,174,182, 
992,174,182, 
993,174,182, 
994,174,182, 
995,174,182, 
996,174,182, 
997,174,182, 
998,174,182, 
999,174,182, 
1000,174,182, 
1001,174,182, 
1002,174,182, 
1003,174,182, 
1004,174,182, 
1005,174,182, 
1006,174,182, 
1007,174,182, 
1008,174,182, 
1009,174,182, 
1010,174,182, 
1011,174,182, 
1012,174,182, 
1013,174,182, 
1014,174,182, 
1015,174,182, 
1016,174,182, 
1017,174,182, 
1018,174,182, 
1019,174,182, 
1020,174,182, 
1021,174,182, 
1022,174,182, 
1023,174,182, 
1024,174,182, 
1025,174,182, 
1026,174,182, 
1027,174,182, 
1028,174,182, 
1029,174,182, 
1030,174,182, 
1031,174,182, 
1032,174,182, 
1033,174,182, 
1034,174,182, 
1035,174,182, 
1036,174,182, 
1037,174,182, 
1038,174,182, 
1039,174,181, 
1040,174,181, 
1041,174,181, 
1042,174,181, 
1043,174,181, 
1044,174,181, 
1045,174,181, 
1046,174,181, 
1047,174,181, 
1048,174,181, 
1049,174,181, 
1050,174,181, 
1051,174,181, 
1052,174,181, 
1053,174,180, 
1054,174,180, 
1055,174,180, 
1056,174,180, 
1057,174,180, 
1058,173,180, 
1059,173,180, 
1060,173,180, 
1061,173,180, 
1062,173,180, 
1063,173,179, 
1064,173,179, 
1065,173,179, 
1066,172,179, 
1067,172,179, 
1068,172,179, 
1069,172,179, 
1070,172,179, 
1071,172,179, 
1072,172,179, 
1073,172,179, 
1074,172,179, 
1075,172,179, 
1076,172,179, 
1077,172,179, 
1078,172,179, 
1079,172,179, 
1080,172,179, 
1081,172,179, 
1082,172,179, 
1083,172,179, 
1084,172,179, 
1085,172,179, 
1086,172,179, 
1087,172,179, 
1088,172,179, 
1089,172,179, 
1090,172,179, 
1091,172,179, 
1092,172,179, 
1093,172,179, 
1094,172,179, 
1095,172,179, 
1096,172,179, 
1097,172,179, 
1098,172,179, 
1099,172,179, 
1100,172,179, 
1101,172,179, 
1102,172,179, 
1103,172,179, 
1104,172,179, 
1105,172,179, 
1106,172,179, 
1107,172,179, 
1108,172,179, 
1109,172,179, 
1110,172,179, 
1111,172,179, 
1112,172,179, 
1113,172,179, 
1114,172,179, 
1115,172,179, 
1116,172,179, 
1117,172,179, 
1118,172,179, 
1119,172,179, 
1120,172,178, 
1121,172,178, 
1122,172,178, 
1123,172,178, 
1124,172,178, 
1125,172,177, 
1126,172,177, 
1127,172,177, 
1128,172,177, 
1129,172,177, 
1130,172,177, 
1131,172,177, 
1132,172,177, 
1133,172,177, 
1134,172,177, 
1135,172,177, 
1136,172,177, 
1137,172,177, 
1138,172,177, 
1139,172,177, 
1140,172,177, 
1141,172,177, 
1142,172,177, 
1143,172,177, 
1144,172,176, 
1145,172,176, 
1146,172,176, 
1147,172,176, 
1148,171,176, 
1149,171,176, 
1150,171,176, 
1151,171,176, 
1152,171,176, 
1153,171,176, 
1154,171,176, 
1155,171,176, 
1156,171,176, 
1157,171,176, 
1158,171,176, 
1159,171,176, 
1160,171,176, 
1161,171,176, 
1162,171,176, 
1163,171,176, 
1164,171,176, 
1165,171,176, 
1166,171,176, 
1167,171,176, 
1168,171,176, 
1169,171,176, 
1170,170,176, 
1171,170,176, 
1172,170,176, 
1173,170,176, 
1174,170,176, 
1175,170,176, 
1176,170,176, 
1177,170,175, 
1178,170,175, 
1179,170,175, 
1180,170,175, 
1181,170,175, 
1182,170,175, 
1183,170,175, 
1184,170,175, 
1185,170,175, 
1186,170,175, 
1187,170,175, 
1188,170,175, 
1189,170,175, 
1190,170,175, 
1191,170,175, 
1192,170,174, 
1193,170,174, 
1194,170,174, 
1195,170,174, 
1196,170,174, 
1197,170,174, 
1198,170,174, 
1199,169,174, 
1200,168,174, 
1201,168,174, 
1202,168,174, 
1203,168,174, 
1204,168,174, 
1205,168,174, 
1206,168,174, 
1207,168,174, 
1208,168,174, 
1209,168,174, 
1210,168,174, 
1211,168,174, 
1212,168,174, 
1213,168,174, 
1214,168,174, 
1215,168,174, 
1216,168,174, 
1217,168,174, 
1218,168,174, 
1219,168,174, 
1220,168,174, 
1221,168,174, 
1222,168,174, 
1223,168,174, 
1224,168,174, 
1225,168,174, 
1226,168,174, 
1227,168,174, 
1228,168,174, 
1229,168,174, 
1230,168,174, 
1231,168,174, 
1232,168,174, 
1233,168,174, 
1234,168,174, 
1235,168,174, 
1236,168,174, 
1237,168,174, 
1238,168,174, 
1239,168,173, 
1240,168,173, 
1241,168,173, 
1242,168,173, 
1243,168,173, 
1244,168,173, 
1245,168,173, 
1246,168,173, 
1247,168,173, 
1248,168,173, 
1249,168,173, 
1250,168,173, 
1251,168,173, 
1252,168,173, 
1253,168,173, 
1254,168,173, 
1255,168,173, 
1256,168,173, 
1257,168,173, 
1258,167,173, 
1259,167,173, 
1260,167,173, 
1261,167,173, 
1262,167,173, 
1263,167,173, 
1264,167,173, 
1265,167,173, 
1266,167,173, 
1267,167,173, 
1268,167,173, 
1269,167,173, 
1270,167,173, 
1271,167,173, 
1272,167,173, 
1273,167,173, 
1274,167,173, 
1275,167,173, 
1276,167,173, 
1277,167,173, 
1278,167,173, 
1279,167,173, 
1280,167,173, 
1281,167,173, 
1282,167,173, 
1283,167,173, 
1284,167,173, 
1285,167,173, 
1286,167,173, 
1287,167,173, 
1288,167,173, 
1289,167,173, 
1290,167,173, 
1291,167,173, 
1292,167,173, 
1293,167,173, 
1294,167,173, 
1295,167,173, 
1296,167,173, 
1297,167,173, 
1298,167,173, 
1299,167,173, 
1300,167,173, 
1301,167,173, 
1302,167,173, 
1303,167,173, 
1304,167,173, 
1305,167,173, 
1306,167,173, 
1307,167,173, 
1308,167,173, 
1309,167,173, 
1310,167,173, 
1311,167,172, 
1312,167,172, 
1313,167,172, 
1314,167,172, 
1315,167,172, 
1316,167,172, 
1317,167,172, 
1318,167,172, 
1319,167,172, 
1320,167,172, 
1321,167,172, 
1322,167,172, 
1323,167,172, 
1324,167,172, 
1325,167,172, 
1326,167,172, 
1327,167,172, 
1328,167,172, 
1329,167,172, 
1330,167,172, 
1331,167,172, 
1332,167,172, 
1333,167,172, 
1334,167,172, 
1335,167,172, 
1336,167,172, 
1337,167,172, 
1338,167,172, 
1339,167,172, 
1340,167,172, 
1341,167,172, 
1342,167,172, 
1343,167,172, 
1344,167,172, 
1345,167,171, 
1346,167,171, 
1347,167,171, 
1348,167,171, 
1349,167,170, 
1350,167,170, 
1351,167,170, 
1352,167,169, 
1353,167,169, 
1354,167,169, 
1355,167,169, 
1356,167,169, 
1357,167,169, 
1358,167,169, 
1359,167,169, 
1360,167,169, 
1361,167,169, 
1362,167,169, 
1363,167,169, 
1364,167,169, 
1365,167,169, 
1366,167,169, 
1367,167,169, 
1368,167,169, 
1369,167,169, 
1370,167,169, 
1371,167,169, 
1372,167,169, 
1373,167,169, 
1374,167,169, 
1375,167,169, 
1376,167,169, 
1377,167,169, 
1378,167,169, 
1379,167,169, 
1380,167,169, 
1381,167,168, 
1382,167,168, 
1383,167,168, 
1384,167,168, 
1385,167,168, 
1386,167,168, 
1387,167,168, 
1388,167,168, 
1389,167,168, 
1390,167,168, 
1391,166,168, 
1392,166,168, 
1393,166,168, 
1394,166,168, 
1395,166,168, 
1396,166,168, 
1397,166,168, 
1398,166,168, 
1399,166,168, 
1400,166,168, 
1401,166,168, 
1402,166,168, 
1403,166,168, 
1404,166,168, 
1405,166,168, 
1406,166,168, 
1407,166,168, 
1408,166,168, 
1409,166,168, 
1410,166,168, 
1411,166,168, 
1412,166,168, 
1413,166,168, 
1414,166,168, 
1415,166,168, 
1416,166,168, 
1417,166,168, 
1418,166,168, 
1419,166,168, 
1420,166,168, 
1421,166,168, 
1422,166,168, 
1423,166,168, 
1424,166,168, 
1425,166,168, 
1426,166,168, 
1427,166,168, 
1428,166,168, 
1429,166,168, 
1430,166,168, 
1431,166,168, 
1432,166,167, 
1433,166,167, 
1434,166,167, 
1435,166,167, 
1436,166,167, 
1437,166,167, 
1438,166,167, 
1439,166,167, 
1440,166,167, 
1441,166,167, 
1442,166,167, 
1443,166,167, 
1444,166,167, 
1445,166,167, 
1446,166,167, 
1447,166,167, 
1448,166,167, 
1449,166,167, 
1450,166,167, 
1451,166,167, 
1452,166,167, 
1453,166,167, 
1454,165,167, 
1455,165,167, 
1456,165,167, 
1457,165,167, 
1458,165,167, 
1459,165,167, 
1460,165,167, 
1461,165,167, 
1462,165,167, 
1463,165,167, 
1464,165,167, 
1465,165,167, 
1466,165,167, 
1467,165,167, 
1468,165,167, 
1469,165,167, 
1470,165,167, 
1471,165,167, 
1472,165,167, 
1473,165,167, 
1474,165,167, 
1475,165,167, 
1476,165,167, 
1477,165,167, 
1478,165,167, 
1479,165,167, 
1480,165,167, 
1481,165,167, 
1482,165,167, 
1483,165,167, 
1484,165,167, 
